bgc_class	n_indicator_ecs	n_producer_gcfs	n_nonproducer_gcfs	producer_recall_baseline	producer_recall_meteor	producer_recall_delta	nonproducer_mean_recall_baseline	nonproducer_mean_recall_meteor	nonproducer_recall_delta	nonproducer_any_fpr_baseline	nonproducer_any_fpr_meteor	specificity_baseline	specificity_meteor	excess_recall_baseline	excess_recall_meteor
pks	56	75	31	0.069	0.0764	0.0074	0.0588	0.0657	0.0069	0.9032	0.9677	0.0968	0.0323	0.0103	0.0108
nrps	20	72	34	0.1368	0.1694	0.0326	0.0721	0.0897	0.0176	0.9118	0.9118	0.0882	0.0882	0.0647	0.0797
saccharide	27	4	102	0.1574	0.1667	0.0093	0.1282	0.1431	0.0149	0.902	0.9706	0.098	0.0294	0.0292	0.0236
other	66	75	31	0.0539	0.0752	0.0212	0.0376	0.0543	0.0166	1.0	1.0	0.0	0.0	0.0163	0.0209
