organism	gem	ec	expressible_in_reference_vocab
E.coli	iML1515	3.1.4.12	0
E.coli	iML1515	3.1.4.14	1
E.coli	iML1515	3.1.4.52	0
E.coli	iML1515	3.1.4.55	0
E.coli	iML1515	3.1.6.1	0
E.coli	iML1515	3.1.6.2	0
E.coli	iML1515	3.1.6.6	1
E.coli	iML1515	3.1.6.8	0
E.coli	iML1515	3.1.8.1	0
E.coli	iML1515	3.1.21.7	0
E.coli	iML1515	3.2.1.1	1
E.coli	iML1515	3.2.1.4	0
E.coli	iML1515	3.2.1.10	1
E.coli	iML1515	3.2.1.14	0
E.coli	iML1515	3.2.1.17	0
E.coli	iML1515	3.2.1.18	0
E.coli	iML1515	3.2.1.21	1
E.coli	iML1515	3.2.1.26	1
E.coli	iML1515	3.2.1.47	0
E.coli	iML1515	3.2.1.48	1
E.coli	iML1515	3.2.1.51	0
E.coli	iML1515	3.2.1.52	1
E.coli	iML1515	3.2.1.67	0
E.coli	iML1515	3.2.1.91	0
E.coli	iML1515	3.2.1.165	0
E.coli	iML1515	3.2.1.169	0
E.coli	iML1515	3.2.1.177	0
E.coli	iML1515	3.2.1.182	0
E.coli	iML1515	3.2.1.183	1
E.coli	iML1515	3.2.1.185	0
E.coli	iML1515	3.2.2.24	0
E.coli	iML1515	3.2.2.27	0
E.coli	iML1515	3.2.2.31	0
E.coli	iML1515	3.4.11.4	0
E.coli	iML1515	3.4.11.5	0
E.coli	iML1515	3.4.13.4	0
E.coli	iML1515	3.4.13.9	0
E.coli	iML1515	3.4.13.19	0
E.coli	iML1515	3.4.13.20	0
E.coli	iML1515	3.4.17.14	0
E.coli	iML1515	3.4.19.5	0
E.coli	iML1515	3.4.19.12	0
E.coli	iML1515	3.4.19.14	0
E.coli	iML1515	3.4.19.15	0
E.coli	iML1515	3.4.21.10	0
E.coli	iML1515	3.4.21.12	0
E.coli	iML1515	3.4.21.19	0
E.coli	iML1515	3.4.21.20	0
E.coli	iML1515	3.4.21.25	0
E.coli	iML1515	3.4.21.26	0
E.coli	iML1515	3.4.21.34	0
E.coli	iML1515	3.4.21.35	0
E.coli	iML1515	3.4.21.36	0
E.coli	iML1515	3.4.21.37	0
E.coli	iML1515	3.4.21.39	0
E.coli	iML1515	3.4.21.48	0
E.coli	iML1515	3.4.21.49	0
E.coli	iML1515	3.4.21.50	0
E.coli	iML1515	3.4.21.53	0
E.coli	iML1515	3.4.21.57	0
E.coli	iML1515	3.4.21.59	0
E.coli	iML1515	3.4.21.61	0
E.coli	iML1515	3.4.21.62	0
E.coli	iML1515	3.4.21.63	0
E.coli	iML1515	3.4.21.64	0
E.coli	iML1515	3.4.21.65	0
E.coli	iML1515	3.4.21.66	0
E.coli	iML1515	3.4.21.67	0
E.coli	iML1515	3.4.21.70	0
E.coli	iML1515	3.4.21.71	0
E.coli	iML1515	3.4.21.76	0
E.coli	iML1515	3.4.21.78	0
E.coli	iML1515	3.4.21.79	0
E.coli	iML1515	3.4.21.80	0
E.coli	iML1515	3.4.21.81	0
E.coli	iML1515	3.4.21.82	0
E.coli	iML1515	3.4.21.90	0
E.coli	iML1515	3.4.21.91	0
E.coli	iML1515	3.4.21.92	0
E.coli	iML1515	3.4.21.93	0
E.coli	iML1515	3.4.21.94	0
E.coli	iML1515	3.4.21.96	0
E.coli	iML1515	3.4.21.97	0
E.coli	iML1515	3.4.21.99	0
E.coli	iML1515	3.4.21.100	0
E.coli	iML1515	3.4.21.102	0
E.coli	iML1515	3.4.21.103	0
E.coli	iML1515	3.4.21.106	0
E.coli	iML1515	3.4.21.107	0
E.coli	iML1515	3.4.21.108	0
E.coli	iML1515	3.4.21.109	0
E.coli	iML1515	3.4.21.112	0
E.coli	iML1515	3.4.21.117	0
E.coli	iML1515	3.4.21.118	0
E.coli	iML1515	3.4.22.1	0
E.coli	iML1515	3.4.22.2	0
E.coli	iML1515	3.4.22.3	0
E.coli	iML1515	3.4.22.6	0
E.coli	iML1515	3.4.22.7	0
E.coli	iML1515	3.4.22.8	0
E.coli	iML1515	3.4.22.10	0
E.coli	iML1515	3.4.22.15	0
E.coli	iML1515	3.4.22.16	0
E.coli	iML1515	3.4.22.27	0
E.coli	iML1515	3.4.22.30	0
E.coli	iML1515	3.4.22.31	0
E.coli	iML1515	3.4.22.32	0
E.coli	iML1515	3.4.22.33	0
E.coli	iML1515	3.4.22.34	0
E.coli	iML1515	3.4.22.35	0
E.coli	iML1515	3.4.22.37	0
E.coli	iML1515	3.4.22.38	0
E.coli	iML1515	3.4.22.39	0
E.coli	iML1515	3.4.22.41	0
E.coli	iML1515	3.4.22.42	0
E.coli	iML1515	3.4.22.43	0
E.coli	iML1515	3.4.22.44	0
E.coli	iML1515	3.4.22.46	0
E.coli	iML1515	3.4.22.48	0
E.coli	iML1515	3.4.22.50	0
E.coli	iML1515	3.4.22.51	0
E.coli	iML1515	3.4.22.67	0
E.coli	iML1515	3.4.23.1	0
E.coli	iML1515	3.4.23.2	0
E.coli	iML1515	3.4.23.3	0
E.coli	iML1515	3.4.23.5	0
E.coli	iML1515	3.4.23.12	0
E.coli	iML1515	3.4.23.16	0
E.coli	iML1515	3.4.23.18	0
E.coli	iML1515	3.4.23.19	0
E.coli	iML1515	3.4.23.20	0
E.coli	iML1515	3.4.23.21	0
E.coli	iML1515	3.4.23.22	0
E.coli	iML1515	3.4.23.23	0
E.coli	iML1515	3.4.23.24	0
E.coli	iML1515	3.4.23.25	0
E.coli	iML1515	3.4.23.26	0
E.coli	iML1515	3.4.23.28	0
E.coli	iML1515	3.4.23.29	0
E.coli	iML1515	3.4.23.30	0
E.coli	iML1515	3.4.23.31	0
E.coli	iML1515	3.4.23.32	0
E.coli	iML1515	3.4.23.34	0
E.coli	iML1515	3.4.23.40	0
E.coli	iML1515	3.4.23.41	0
E.coli	iML1515	3.4.23.42	0
E.coli	iML1515	3.4.23.44	0
E.coli	iML1515	3.4.23.47	0
E.coli	iML1515	3.4.23.49	0
E.coli	iML1515	3.4.24.1	0
E.coli	iML1515	3.4.24.6	0
E.coli	iML1515	3.4.24.11	0
E.coli	iML1515	3.4.24.12	0
E.coli	iML1515	3.4.24.15	0
E.coli	iML1515	3.4.24.17	0
E.coli	iML1515	3.4.24.18	0
E.coli	iML1515	3.4.24.20	0
E.coli	iML1515	3.4.24.21	0
E.coli	iML1515	3.4.24.22	0
E.coli	iML1515	3.4.24.23	0
E.coli	iML1515	3.4.24.24	0
E.coli	iML1515	3.4.24.25	0
E.coli	iML1515	3.4.24.27	0
E.coli	iML1515	3.4.24.28	0
E.coli	iML1515	3.4.24.29	0
E.coli	iML1515	3.4.24.30	0
E.coli	iML1515	3.4.24.31	0
E.coli	iML1515	3.4.24.33	0
E.coli	iML1515	3.4.24.34	0
E.coli	iML1515	3.4.24.35	0
E.coli	iML1515	3.4.24.36	0
E.coli	iML1515	3.4.24.37	0
E.coli	iML1515	3.4.24.38	0
E.coli	iML1515	3.4.24.39	0
E.coli	iML1515	3.4.24.40	0
E.coli	iML1515	3.4.24.41	0
E.coli	iML1515	3.4.24.42	0
E.coli	iML1515	3.4.24.43	0
E.coli	iML1515	3.4.24.44	0
E.coli	iML1515	3.4.24.45	0
E.coli	iML1515	3.4.24.46	0
E.coli	iML1515	3.4.24.47	0
E.coli	iML1515	3.4.24.48	0
E.coli	iML1515	3.4.24.49	0
E.coli	iML1515	3.4.24.50	0
E.coli	iML1515	3.4.24.51	0
E.coli	iML1515	3.4.24.52	0
E.coli	iML1515	3.4.24.53	0
E.coli	iML1515	3.4.24.54	0
E.coli	iML1515	3.4.24.55	0
E.coli	iML1515	3.4.24.60	0
E.coli	iML1515	3.4.24.61	0
E.coli	iML1515	3.4.24.62	0
E.coli	iML1515	3.4.24.63	0
E.coli	iML1515	3.4.24.65	0
E.coli	iML1515	3.4.24.66	0
E.coli	iML1515	3.4.24.67	0
E.coli	iML1515	3.4.24.69	0
E.coli	iML1515	3.4.24.72	0
E.coli	iML1515	3.4.24.73	0
E.coli	iML1515	3.4.24.74	0
E.coli	iML1515	3.4.24.76	0
E.coli	iML1515	3.4.24.77	0
E.coli	iML1515	3.4.24.78	0
E.coli	iML1515	3.4.24.81	0
E.coli	iML1515	3.4.24.83	0
E.coli	iML1515	3.4.24.85	0
E.coli	iML1515	3.4.25.1	0
E.coli	iML1515	3.5.1.3	0
E.coli	iML1515	3.5.1.4	1
E.coli	iML1515	3.5.1.5	1
E.coli	iML1515	3.5.1.6	1
E.coli	iML1515	3.5.1.11	1
E.coli	iML1515	3.5.1.12	0
E.coli	iML1515	3.5.1.20	0
E.coli	iML1515	3.5.1.24	0
E.coli	iML1515	3.5.1.28	1
E.coli	iML1515	3.5.1.29	0
E.coli	iML1515	3.5.1.30	0
E.coli	iML1515	3.5.1.35	0
E.coli	iML1515	3.5.1.43	0
E.coli	iML1515	3.5.1.44	0
E.coli	iML1515	3.5.1.54	1
E.coli	iML1515	3.5.1.74	0
E.coli	iML1515	3.5.1.88	0
E.coli	iML1515	3.5.1.90	1
E.coli	iML1515	3.5.1.97	0
E.coli	iML1515	3.5.1.98	0
E.coli	iML1515	3.5.1.105	0
E.coli	iML1515	3.5.1.111	0
E.coli	iML1515	3.5.1.122	0
E.coli	iML1515	3.5.1.124	0
E.coli	iML1515	3.5.2.2	1
E.coli	iML1515	3.5.2.6	1
E.coli	iML1515	3.5.2.7	1
E.coli	iML1515	3.5.2.9	1
E.coli	iML1515	3.5.2.14	0
E.coli	iML1515	3.5.2.17	0
E.coli	iML1515	3.5.2.19	0
E.coli	iML1515	3.5.3.8	1
E.coli	iML1515	3.5.3.9	1
E.coli	iML1515	3.5.3.26	0
E.coli	iML1515	3.5.4.14	0
E.coli	iML1515	3.5.4.21	0
E.coli	iML1515	3.5.4.33	0
E.coli	iML1515	3.5.4.34	0
E.coli	iML1515	3.5.4.37	0
E.coli	iML1515	3.5.4.42	0
E.coli	iML1515	3.5.99.2	1
E.coli	iML1515	3.5.99.4	0
E.coli	iML1515	3.5.99.5	0
E.coli	iML1515	3.5.99.10	0
E.coli	iML1515	3.6.1.7	1
E.coli	iML1515	3.6.1.17	0
E.coli	iML1515	3.6.1.18	0
E.coli	iML1515	3.6.1.27	0
E.coli	iML1515	3.6.1.39	1
E.coli	iML1515	3.6.1.43	0
E.coli	iML1515	3.6.1.53	0
E.coli	iML1515	3.6.1.55	0
E.coli	iML1515	3.6.1.59	0
E.coli	iML1515	3.6.1.63	0
E.coli	iML1515	3.6.2.2	1
E.coli	iML1515	3.7.1.5	0
E.coli	iML1515	3.7.1.17	0
E.coli	iML1515	3.7.1.20	0
E.coli	iML1515	3.8.1.2	0
E.coli	iML1515	3.8.1.3	0
E.coli	iML1515	3.8.1.5	0
E.coli	iML1515	3.11.1.2	0
E.coli	iML1515	4.1.1.1	1
E.coli	iML1515	4.1.1.5	1
E.coli	iML1515	4.1.1.21	1
E.coli	iML1515	4.1.1.29	1
E.coli	iML1515	4.1.1.39	0
E.coli	iML1515	4.1.1.55	0
E.coli	iML1515	4.1.1.61	0
E.coli	iML1515	4.1.1.71	1
E.coli	iML1515	4.1.1.83	0
E.coli	iML1515	4.1.1.86	0
E.coli	iML1515	4.1.1.94	0
E.coli	iML1515	4.1.1.97	0
E.coli	iML1515	4.1.1.112	0
E.coli	iML1515	4.1.2.12	0
E.coli	iML1515	4.1.2.15	0
E.coli	iML1515	4.1.2.16	0
E.coli	iML1515	4.1.2.43	0
E.coli	iML1515	4.1.2.49	0
E.coli	iML1515	4.1.2.53	0
E.coli	iML1515	4.1.2.57	0
E.coli	iML1515	4.1.3.2	0
E.coli	iML1515	4.1.3.7	0
E.coli	iML1515	4.1.3.12	0
E.coli	iML1515	4.1.3.16	0
E.coli	iML1515	4.1.3.17	1
E.coli	iML1515	4.1.3.18	0
E.coli	iML1515	4.1.3.31	0
E.coli	iML1515	4.1.3.34	0
E.coli	iML1515	4.1.3.36	1
E.coli	iML1515	4.1.3.42	0
