organism	gem	ec	expressible_in_reference_vocab
E.coli	iML1515	1.1.1.2	1
E.coli	iML1515	1.1.1.8	1
E.coli	iML1515	1.1.1.11	1
E.coli	iML1515	1.1.1.14	1
E.coli	iML1515	1.1.1.15	1
E.coli	iML1515	1.1.1.18	1
E.coli	iML1515	1.1.1.31	0
E.coli	iML1515	1.1.1.36	1
E.coli	iML1515	1.1.1.47	0
E.coli	iML1515	1.1.1.65	0
E.coli	iML1515	1.1.1.67	0
E.coli	iML1515	1.1.1.90	1
E.coli	iML1515	1.1.1.91	0
E.coli	iML1515	1.1.1.105	0
E.coli	iML1515	1.1.1.108	0
E.coli	iML1515	1.1.1.118	1
E.coli	iML1515	1.1.1.119	0
E.coli	iML1515	1.1.1.122	0
E.coli	iML1515	1.1.1.124	0
E.coli	iML1515	1.1.1.125	0
E.coli	iML1515	1.1.1.127	0
E.coli	iML1515	1.1.1.138	0
E.coli	iML1515	1.1.1.158	0
E.coli	iML1515	1.1.1.159	0
E.coli	iML1515	1.1.1.178	1
E.coli	iML1515	1.1.1.191	0
E.coli	iML1515	1.1.1.202	1
E.coli	iML1515	1.1.1.204	0
E.coli	iML1515	1.1.1.218	0
E.coli	iML1515	1.1.1.262	0
E.coli	iML1515	1.1.1.265	0
E.coli	iML1515	1.1.1.274	0
E.coli	iML1515	1.1.1.292	0
E.coli	iML1515	1.1.1.307	0
E.coli	iML1515	1.1.1.316	0
E.coli	iML1515	1.1.1.327	0
E.coli	iML1515	1.1.1.343	0
E.coli	iML1515	1.1.1.369	0
E.coli	iML1515	1.1.1.371	0
E.coli	iML1515	1.1.1.372	1
E.coli	iML1515	1.1.1.385	0
E.coli	iML1515	1.1.3.12	1
E.coli	iML1515	1.1.3.15	1
E.coli	iML1515	1.1.5.2	0
E.coli	iML1515	1.1.5.3	1
E.coli	iML1515	1.1.5.6	0
E.coli	iML1515	1.1.5.8	1
E.coli	iML1515	1.1.9.1	0
E.coli	iML1515	1.1.99.1	1
E.coli	iML1515	1.1.99.2	0
E.coli	iML1515	1.1.99.3	0
E.coli	iML1515	1.1.99.11	0
E.coli	iML1515	1.1.99.14	0
E.coli	iML1515	1.1.99.16	0
E.coli	iML1515	1.1.99.25	1
E.coli	iML1515	1.1.99.28	0
E.coli	iML1515	1.2.1.2	1
E.coli	iML1515	1.2.1.23	0
E.coli	iML1515	1.2.1.26	0
E.coli	iML1515	1.2.1.29	1
E.coli	iML1515	1.2.1.47	0
E.coli	iML1515	1.2.1.53	1
E.coli	iML1515	1.2.1.57	0
E.coli	iML1515	1.2.1.68	1
E.coli	iML1515	1.2.1.76	1
E.coli	iML1515	1.2.1.87	1
E.coli	iML1515	1.2.1.94	0
E.coli	iML1515	1.2.2.2	0
E.coli	iML1515	1.2.5.1	0
E.coli	iML1515	1.2.5.2	0
E.coli	iML1515	1.2.7.1	1
E.coli	iML1515	1.2.7.2	0
E.coli	iML1515	1.2.7.4	0
E.coli	iML1515	1.2.7.5	0
E.coli	iML1515	1.2.7.6	0
E.coli	iML1515	1.2.7.12	0
E.coli	iML1515	1.2.99.2	0
E.coli	iML1515	1.3.1.34	0
E.coli	iML1515	1.3.1.74	0
E.coli	iML1515	1.3.1.95	0
E.coli	iML1515	1.3.1.96	0
E.coli	iML1515	1.3.1.108	0
E.coli	iML1515	1.3.3.1	0
E.coli	iML1515	1.3.3.5	0
E.coli	iML1515	1.3.5.1	1
E.coli	iML1515	1.3.5.2	0
E.coli	iML1515	1.3.5.3	0
E.coli	iML1515	1.3.7.8	0
E.coli	iML1515	1.3.8.4	1
E.coli	iML1515	1.3.8.13	0
E.coli	iML1515	1.3.99.2	1
E.coli	iML1515	1.3.99.10	1
E.coli	iML1515	1.3.99.13	0
E.coli	iML1515	1.4.1.1	1
E.coli	iML1515	1.4.1.2	1
E.coli	iML1515	1.4.1.5	0
E.coli	iML1515	1.4.1.7	0
E.coli	iML1515	1.4.1.8	0
E.coli	iML1515	1.4.1.9	1
E.coli	iML1515	1.4.1.10	0
E.coli	iML1515	1.4.1.12	0
E.coli	iML1515	1.4.1.15	0
E.coli	iML1515	1.4.1.19	0
E.coli	iML1515	1.4.1.20	1
E.coli	iML1515	1.4.3.2	1
E.coli	iML1515	1.4.3.3	1
E.coli	iML1515	1.4.3.19	1
E.coli	iML1515	1.5.1.29	0
E.coli	iML1515	1.5.5.1	0
E.coli	iML1515	1.5.5.2	0
E.coli	iML1515	1.6.4.2	0
E.coli	iML1515	1.6.5.2	0
E.coli	iML1515	1.6.5.8	0
E.coli	iML1515	1.6.5.9	0
E.coli	iML1515	1.6.5.10	0
E.coli	iML1515	1.6.5.12	0
E.coli	iML1515	1.6.6.8	0
E.coli	iML1515	1.6.6.9	0
E.coli	iML1515	1.6.99.3	0
E.coli	iML1515	1.6.99.6	0
E.coli	iML1515	1.6.99.7	0
E.coli	iML1515	1.7.1.2	1
E.coli	iML1515	1.7.1.3	0
E.coli	iML1515	1.7.1.6	0
E.coli	iML1515	1.7.1.10	1
E.coli	iML1515	1.7.2.1	0
E.coli	iML1515	1.7.2.2	0
E.coli	iML1515	1.7.2.3	0
E.coli	iML1515	1.7.2.5	0
E.coli	iML1515	1.7.99.1	1
E.coli	iML1515	1.7.99.5	0
E.coli	iML1515	1.8.1.8	0
E.coli	iML1515	1.8.1.10	0
E.coli	iML1515	1.8.2.2	1
E.coli	iML1515	1.8.3.2	0
E.coli	iML1515	1.8.3.4	0
E.coli	iML1515	1.8.4.11	0
E.coli	iML1515	1.8.4.12	0
E.coli	iML1515	1.8.5.3	0
E.coli	iML1515	1.8.98.1	0
E.coli	iML1515	1.8.99.2	0
E.coli	iML1515	1.9.3.1	1
E.coli	iML1515	1.9.6.1	0
E.coli	iML1515	1.11.1.5	0
E.coli	iML1515	1.11.1.7	1
E.coli	iML1515	1.11.1.13	0
E.coli	iML1515	1.12.7.2	0
E.coli	iML1515	1.12.98.3	0
E.coli	iML1515	1.12.99.6	0
E.coli	iML1515	1.13.11.11	0
E.coli	iML1515	1.13.11.24	1
E.coli	iML1515	1.13.11.29	0
E.coli	iML1515	1.13.11.52	0
E.coli	iML1515	1.13.11.63	0
E.coli	iML1515	1.13.12.9	0
E.coli	iML1515	1.14.11.2	0
E.coli	iML1515	1.14.11.33	0
E.coli	iML1515	1.14.11.57	0
E.coli	iML1515	1.14.12.13	0
E.coli	iML1515	1.14.13.1	0
E.coli	iML1515	1.14.13.7	0
E.coli	iML1515	1.14.13.20	0
E.coli	iML1515	1.14.13.39	0
E.coli	iML1515	1.14.13.50	0
E.coli	iML1515	1.14.13.81	0
E.coli	iML1515	1.14.13.107	0
E.coli	iML1515	1.14.13.113	0
E.coli	iML1515	1.14.13.135	0
E.coli	iML1515	1.14.13.165	0
E.coli	iML1515	1.14.13.219	0
E.coli	iML1515	1.14.13.239	0
E.coli	iML1515	1.14.14.12	0
E.coli	iML1515	1.14.14.18	0
E.coli	iML1515	1.14.14.51	0
E.coli	iML1515	1.14.99.36	0
E.coli	iML1515	1.14.99.46	0
E.coli	iML1515	1.15.1.2	0
E.coli	iML1515	1.16.1.3	0
E.coli	iML1515	1.16.1.7	0
E.coli	iML1515	1.16.1.9	0
E.coli	iML1515	1.16.3.2	0
E.coli	iML1515	1.17.1.5	0
E.coli	iML1515	1.17.1.8	0
E.coli	iML1515	1.17.1.9	0
E.coli	iML1515	1.17.4.2	1
E.coli	iML1515	1.17.5.3	0
E.coli	iML1515	1.17.7.3	0
E.coli	iML1515	1.17.7.4	0
E.coli	iML1515	1.18.1.2	1
E.coli	iML1515	1.18.1.3	0
E.coli	iML1515	1.18.6.1	0
E.coli	iML1515	1.19.1.1	1
E.coli	iML1515	1.21.4.1	0
E.coli	iML1515	1.21.4.4	0
E.coli	iML1515	2.1.1.14	1
E.coli	iML1515	2.1.1.35	0
E.coli	iML1515	2.1.1.37	1
E.coli	iML1515	2.1.1.61	0
E.coli	iML1515	2.1.1.63	0
E.coli	iML1515	2.1.1.72	0
E.coli	iML1515	2.1.1.80	0
E.coli	iML1515	2.1.1.114	0
E.coli	iML1515	2.1.1.148	1
E.coli	iML1515	2.1.1.192	0
E.coli	iML1515	2.1.1.228	0
E.coli	iML1515	2.1.1.266	0
E.coli	iML1515	2.1.1.280	0
E.coli	iML1515	2.1.1.290	0
E.coli	iML1515	2.1.1.346	0
E.coli	iML1515	2.1.1.348	0
E.coli	iML1515	2.1.2.9	1
E.coli	iML1515	2.1.3.1	0
E.coli	iML1515	2.2.1.3	0
E.coli	iML1515	2.3.1.11	0
E.coli	iML1515	2.3.1.20	0
E.coli	iML1515	2.3.1.31	1
E.coli	iML1515	2.3.1.35	1
E.coli	iML1515	2.3.1.48	0
E.coli	iML1515	2.3.1.89	1
E.coli	iML1515	2.3.1.102	0
E.coli	iML1515	2.3.1.118	0
E.coli	iML1515	2.3.1.169	0
E.coli	iML1515	2.3.1.181	0
E.coli	iML1515	2.3.1.183	0
E.coli	iML1515	2.3.1.184	0
E.coli	iML1515	2.3.1.189	0
E.coli	iML1515	2.3.1.193	0
E.coli	iML1515	2.3.1.199	0
E.coli	iML1515	2.3.1.202	0
E.coli	iML1515	2.3.1.225	0
E.coli	iML1515	2.3.1.234	0
E.coli	iML1515	2.3.1.242	0
E.coli	iML1515	2.3.1.245	0
E.coli	iML1515	2.3.1.269	0
E.coli	iML1515	2.3.2.2	1
E.coli	iML1515	2.3.2.3	0
E.coli	iML1515	2.3.2.27	0
E.coli	iML1515	2.3.2.31	0
E.coli	iML1515	2.4.1.2	0
E.coli	iML1515	2.4.1.7	0
E.coli	iML1515	2.4.1.8	1
E.coli	iML1515	2.4.1.17	0
E.coli	iML1515	2.4.1.44	0
E.coli	iML1515	2.4.1.52	0
E.coli	iML1515	2.4.1.54	0
E.coli	iML1515	2.4.1.58	0
E.coli	iML1515	2.4.1.63	0
E.coli	iML1515	2.4.1.73	0
E.coli	iML1515	2.4.1.83	0
E.coli	iML1515	2.4.1.100	0
E.coli	iML1515	2.4.1.109	0
E.coli	iML1515	2.4.1.119	0
E.coli	iML1515	2.4.1.135	0
E.coli	iML1515	2.4.1.162	0
E.coli	iML1515	2.4.1.198	0
E.coli	iML1515	2.4.1.212	0
E.coli	iML1515	2.4.1.214	0
E.coli	iML1515	2.4.1.246	0
E.coli	iML1515	2.4.1.250	0
E.coli	iML1515	2.4.1.255	0
E.coli	iML1515	2.4.1.256	0
E.coli	iML1515	2.4.1.289	0
E.coli	iML1515	2.4.1.303	0
E.coli	iML1515	2.4.1.345	0
E.coli	iML1515	2.4.2.5	0
E.coli	iML1515	2.4.2.6	0
E.coli	iML1515	2.4.2.11	1
E.coli	iML1515	2.4.2.23	0
E.coli	iML1515	2.4.2.29	0
E.coli	iML1515	2.4.2.31	0
E.coli	iML1515	2.4.2.43	0
E.coli	iML1515	2.4.2.53	0
E.coli	iML1515	2.4.99.18	0
E.coli	iML1515	2.5.1.18	0
E.coli	iML1515	2.5.1.21	1
E.coli	iML1515	2.5.1.22	1
E.coli	iML1515	2.5.1.25	0
E.coli	iML1515	2.5.1.30	0
E.coli	iML1515	2.5.1.32	0
E.coli	iML1515	2.5.1.49	1
E.coli	iML1515	2.5.1.64	1
E.coli	iML1515	2.5.1.87	0
E.coli	iML1515	2.5.1.96	1
E.coli	iML1515	2.5.1.99	0
E.coli	iML1515	2.5.1.103	1
E.coli	iML1515	2.5.1.144	0
E.coli	iML1515	2.6.1.13	1
E.coli	iML1515	2.6.1.23	0
E.coli	iML1515	2.6.1.33	0
E.coli	iML1515	2.6.1.39	1
E.coli	iML1515	2.6.1.55	0
E.coli	iML1515	2.6.1.58	0
E.coli	iML1515	2.6.1.69	0
E.coli	iML1515	2.6.1.78	0
E.coli	iML1515	2.6.1.88	0
E.coli	iML1515	2.6.1.92	0
E.coli	iML1515	2.6.1.96	0
E.coli	iML1515	2.6.1.113	0
E.coli	iML1515	2.6.99.2	0
E.coli	iML1515	2.7.1.19	0
E.coli	iML1515	2.7.1.22	1
E.coli	iML1515	2.7.1.34	1
E.coli	iML1515	2.7.1.47	1
E.coli	iML1515	2.7.1.68	0
E.coli	iML1515	2.7.1.83	0
E.coli	iML1515	2.7.1.92	1
E.coli	iML1515	2.7.1.108	0
E.coli	iML1515	2.7.1.158	0
E.coli	iML1515	2.7.1.167	0
E.coli	iML1515	2.7.1.170	0
E.coli	iML1515	2.7.1.173	0
E.coli	iML1515	2.7.1.184	0
E.coli	iML1515	2.7.1.191	0
E.coli	iML1515	2.7.1.197	0
E.coli	iML1515	2.7.1.199	0
E.coli	iML1515	2.7.1.201	0
E.coli	iML1515	2.7.1.205	0
E.coli	iML1515	2.7.3.9	0
E.coli	iML1515	2.7.4.1	0
E.coli	iML1515	2.7.4.15	0
E.coli	iML1515	2.7.4.28	0
E.coli	iML1515	2.7.6.2	0
E.coli	iML1515	2.7.7.13	1
E.coli	iML1515	2.7.7.42	0
E.coli	iML1515	2.7.7.43	0
E.coli	iML1515	2.7.7.65	0
E.coli	iML1515	2.7.7.68	0
E.coli	iML1515	2.7.7.73	0
E.coli	iML1515	2.7.7.78	0
E.coli	iML1515	2.7.7.79	0
E.coli	iML1515	2.7.7.80	0
E.coli	iML1515	2.7.7.85	0
E.coli	iML1515	2.7.7.87	0
E.coli	iML1515	2.7.7.89	0
E.coli	iML1515	2.7.8.6	0
E.coli	iML1515	2.7.8.11	0
E.coli	iML1515	2.7.8.21	0
E.coli	iML1515	2.7.8.25	0
E.coli	iML1515	2.7.8.30	0
E.coli	iML1515	2.7.8.31	0
E.coli	iML1515	2.7.8.33	0
E.coli	iML1515	2.7.8.35	0
E.coli	iML1515	2.7.8.37	0
E.coli	iML1515	2.7.8.42	0
E.coli	iML1515	2.7.10.1	0
E.coli	iML1515	2.7.10.2	0
E.coli	iML1515	2.7.11.1	0
E.coli	iML1515	2.7.11.12	0
E.coli	iML1515	2.7.11.13	0
E.coli	iML1515	2.7.11.17	0
E.coli	iML1515	2.7.11.21	0
E.coli	iML1515	2.7.11.22	0
E.coli	iML1515	2.7.11.33	0
E.coli	iML1515	2.7.12.1	0
E.coli	iML1515	2.7.12.2	0
E.coli	iML1515	2.7.13.2	0
E.coli	iML1515	2.7.13.3	0
E.coli	iML1515	2.8.1.6	1
E.coli	iML1515	2.8.1.7	0
E.coli	iML1515	2.8.1.8	0
E.coli	iML1515	2.8.1.10	0
E.coli	iML1515	2.8.2.22	0
E.coli	iML1515	2.8.3.10	0
E.coli	iML1515	2.8.3.19	0
E.coli	iML1515	2.9.1.1	1
E.coli	iML1515	2.10.1.1	0
E.coli	iML1515	3.1.1.1	0
E.coli	iML1515	3.1.1.2	0
E.coli	iML1515	3.1.1.3	0
E.coli	iML1515	3.1.1.6	0
E.coli	iML1515	3.1.1.11	0
E.coli	iML1515	3.1.1.21	0
E.coli	iML1515	3.1.1.29	0
E.coli	iML1515	3.1.1.34	0
E.coli	iML1515	3.1.1.45	0
E.coli	iML1515	3.1.1.61	0
E.coli	iML1515	3.1.1.79	0
E.coli	iML1515	3.1.1.84	0
E.coli	iML1515	3.1.2.1	0
E.coli	iML1515	3.1.2.18	0
E.coli	iML1515	3.1.2.19	0
E.coli	iML1515	3.1.2.20	0
E.coli	iML1515	3.1.2.28	0
E.coli	iML1515	3.1.3.8	0
E.coli	iML1515	3.1.3.16	0
E.coli	iML1515	3.1.3.26	0
E.coli	iML1515	3.1.3.37	1
E.coli	iML1515	3.1.3.41	0
E.coli	iML1515	3.1.3.48	0
E.coli	iML1515	3.1.3.62	0
E.coli	iML1515	3.1.3.70	0
E.coli	iML1515	3.1.3.78	0
E.coli	iML1515	3.1.3.82	0
E.coli	iML1515	3.1.3.90	0
E.coli	iML1515	3.1.3.100	0
E.coli	iML1515	3.1.4.3	0
E.coli	iML1515	3.1.4.4	0
