gcf	organism	taxid	lineage
GCF_003605405.2	Siminovitchia terrae (firmicutes)	1914933	Siminovitchia terrae;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Siminovitchia;
GCF_003626845.1	Aquimarina sp. AD1 (CFB group bacteria)	1714848	Aquimarina sp. AD1;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquimarina;unclassified Aquimarina;
GCF_004307055.1	Mycolicibacterium smegmatis MC2 155 (high G+C Gram-positive bacteria)	246196	Mycolicibacterium smegmatis MC2 155;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycolicibacterium;Mycolicibacterium smegmatis;
GCF_006094295.1	Bacillus cereus ATCC 14579 (firmicutes)	226900	Bacillus cereus ATCC 14579;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus cereus;
GCF_008152325.1	Crassaminicella thermophila (firmicutes)	2599308	Crassaminicella thermophila;cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Crassaminicella;
GCF_008244845.1	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S (enterobacteria)	588858	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;Salmonella enterica subsp. enterica serovar Typhimurium str. LT2;
GCF_008639165.1	Streptomyces venezuelae ATCC 10712 (high G+C Gram-positive bacteria)	953739	Streptomyces venezuelae ATCC 10712;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces venezuelae;
GCF_008931305.1	Streptomyces coelicolor A3(2) (high G+C Gram-positive bacteria)	100226	Streptomyces coelicolor A3(2);cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces albidoflavus group;Streptomyces coelicolor;
GCF_013365535.1	Aquimarina sp. TRL1 (CFB group bacteria)	2736252	Aquimarina sp. TRL1;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aquimarina;unclassified Aquimarina;
GCF_015277775.1	Paludibaculum fermentans (bacteria)	1473598	Paludibaculum fermentans;cellular organisms;Bacteria;Pseudomonadati;Acidobacteriota;Terriglobia;Bryobacterales;Bryobacteraceae;Paludibaculum;
GCF_017916255.1	Streptomyces mobaraensis NBRC 13819 = DSM 40847 (high G+C Gram-positive bacteria)	1223523	Streptomyces mobaraensis NBRC 13819 = DSM 40847;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces mobaraensis;
GCF_018732145.1	Nocardioides sp. LMS-CY (high G+C Gram-positive bacteria)	2840457	Nocardioides sp. LMS-CY;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Nocardioidaceae;Nocardioides;unclassified Nocardioides;
GCF_019856495.1	Caldalkalibacillus thermarum TA2.A1 (firmicutes)	986075	Caldalkalibacillus thermarum TA2.A1;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Caldalkalibacillus;Caldalkalibacillus thermarum;
GCF_021278985.1	Citrobacter rodentium NBRC 105723 = DSM 16636 (enterobacteria)	1218085	Citrobacter rodentium NBRC 105723 = DSM 16636;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Citrobacter;Citrobacter rodentium;
GCF_022406515.1	Enterococcus faecalis V583 (firmicutes)	226185	Enterococcus faecalis V583;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecalis;
GCF_024519395.1	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 (E. coli)	866789	Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;
GCF_032924845.1	Tritonibacter scottomollicae (a-proteobacteria)	483013	Tritonibacter scottomollicae;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Tritonibacter;
GCF_039535865.1	Streptomyces thioluteus (high G+C Gram-positive bacteria)	66431	Streptomyces thioluteus;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;
GCF_045039055.1	Enterococcus gallinarum (firmicutes)	1353	Enterococcus gallinarum;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
GCF_045207185.1	Streptomyces halstedii (high G+C Gram-positive bacteria)	1944	Streptomyces halstedii;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces griseus group;Streptomyces halstedii subgroup;
GCF_045286965.1	Streptomyces atratus (high G+C Gram-positive bacteria)	1893	Streptomyces atratus;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;
GCF_045348045.1	Staphylococcus aureus subsp. aureus RN4220 (firmicutes)	561307	Staphylococcus aureus subsp. aureus RN4220;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus;Staphylococcus aureus subsp. aureus NCTC 8325;
GCF_045571375.1	Pseudomonas putida KT2440 (g-proteobacteria)	160488	Pseudomonas putida KT2440;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;
GCF_045712965.1	Xanthomonas campestris pv. campestris str. 8004 (g-proteobacteria)	314565	Xanthomonas campestris pv. campestris str. 8004;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas;Xanthomonas campestris;Xanthomonas campestris pv. campestris;
GCF_046591535.1	Chryseobacterium proteolyticum (CFB group bacteria)	118127	Chryseobacterium proteolyticum;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Chryseobacterium group;Chryseobacterium;
GCF_047219265.1	Escherichia coli O157:H7 (E. coli)	83334	Escherichia coli O157:H7;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;
GCF_047301005.1	Ornithobacterium rhinotracheale (CFB group bacteria)	28251	Ornithobacterium rhinotracheale;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Ornithobacterium;
GCF_047946945.1	Rubrivivax gelatinosus (b-proteobacteria)	28068	Rubrivivax gelatinosus;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Sphaerotilaceae;Rubrivivax;
GCF_049860565.1	Desulfitobacterium nosdiversum (firmicutes)	3375356	Desulfitobacterium nosdiversum;cellular organisms;Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Desulfitobacteriaceae;Desulfitobacterium;
GCF_050157305.1	Acinetobacter johnsonii (g-proteobacteria)	40214	Acinetobacter johnsonii;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;
GCF_050233995.1	Fusobacterium nucleatum subsp. nucleatum ATCC 23726 (fusobacteria)	525283	Fusobacterium nucleatum subsp. nucleatum ATCC 23726;cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum;Fusobacterium nucleatum subsp. nucleatum;
GCF_051043275.1	Sinorhizobium meliloti (a-proteobacteria)	382	Sinorhizobium meliloti;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium/Ensifer group;Sinorhizobium;
GCF_051903345.1	Cupriavidus necator H16 (b-proteobacteria)	381666	Cupriavidus necator H16;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Cupriavidus;Cupriavidus necator;
GCF_051904065.1	Parabacteroides distasonis (CFB group bacteria)	823	Parabacteroides distasonis;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;
GCF_051904745.1	Salmonella enterica subsp. enterica serovar Enteritidis (enterobacteria)	149539	Salmonella enterica subsp. enterica serovar Enteritidis;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;
GCF_051905015.1	Bacteroides fragilis (CFB group bacteria)	817	Bacteroides fragilis;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
GCF_054027555.1	Caldithrix abyssi (bacteria)	187145	Caldithrix abyssi;cellular organisms;Bacteria;Pseudomonadati;Calditrichota;Calditrichia;Calditrichales;Calditrichaceae;Caldithrix;
GCF_055387645.1	Enterococcus casseliflavus (firmicutes)	37734	Enterococcus casseliflavus;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;
GCF_055390245.1	Campylobacter jejuni (e-proteobacteria)	197	Campylobacter jejuni;cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;
GCF_055589305.1	Streptomyces coeruleorubidus (high G+C Gram-positive bacteria)	116188	Streptomyces coeruleorubidus;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;
GCF_056489225.1	Salmonella enterica subsp. enterica serovar Pullorum (enterobacteria)	605	Salmonella enterica subsp. enterica serovar Pullorum;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;
GCF_057457595.1	Acinetobacter baumannii (g-proteobacteria)	470	Acinetobacter baumannii;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;
GCF_057838145.1	Brevibacterium aurantiacum (high G+C Gram-positive bacteria)	273384	Brevibacterium aurantiacum;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium;
GCF_058182495.1	Bacillus subtilis (firmicutes)	1423	Bacillus subtilis;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus;Bacillus subtilis group;
GCF_058435815.1	Klebsiella pneumoniae (enterobacteria)	573	Klebsiella pneumoniae;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae complex;
GCF_058436375.1	Escherichia coli (E. coli)	562	Escherichia coli;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;
GCF_058448535.1	Pseudomonas aeruginosa (g-proteobacteria)	287	Pseudomonas aeruginosa;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;
GCF_058449135.1	Priestia megaterium (firmicutes)	1404	Priestia megaterium;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Priestia;
