gcf	organism	taxid	lineage
GCA_003598085.1	Candidatus Abyssobacteria bacterium SURF_5 (bacteria)	2093360	Candidatus Abyssobacteria bacterium SURF_5;cellular organisms;Bacteria;Pseudomonadati;FCB group;Candidatus Hydrogenedentota;Candidatus Abyssobacteria;
GCA_014873095.1	Planctomycetales bacterium ZRK34 (planctomycetes)	2723666	Planctomycetales bacterium ZRK34;cellular organisms;Bacteria;Pseudomonadati;PVC group;Planctomycetota;Planctomycetia;Planctomycetales;unclassified Planctomycetales;
GCA_022305115.1	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 (enterobacteria)	272620	Klebsiella pneumoniae subsp. pneumoniae MGH 78578;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae complex;Klebsiella pneumoniae;Klebsiella pneumoniae subsp. pneumoniae;
GCA_046479585.1	Campylobacter jejuni subsp. jejuni 81116 (e-proteobacteria)	407148	Campylobacter jejuni subsp. jejuni 81116;cellular organisms;Bacteria;Pseudomonadati;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;Campylobacter jejuni;Campylobacter jejuni subsp. jejuni;
GCA_050699075.1	Streptomyces sp. (high G+C Gram-positive bacteria)	1931	Streptomyces sp.;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;unclassified Streptomyces;
GCA_051904755.1	Bacillus safensis (firmicutes)	561879	Bacillus safensis;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus;
GCA_057539575.1	Streptomyces lavendulae (high G+C Gram-positive bacteria)	1914	Streptomyces lavendulae;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;
GCA_982345475.1	Pseudomonas putida UWC1 (g-proteobacteria)	1407054	Pseudomonas putida UWC1;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas putida group;Pseudomonas putida;
GCF_000006945.2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 (enterobacteria)	99287	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica;Salmonella enterica subsp. enterica;Salmonella enterica subsp. enterica serovar Typhimurium;
GCF_000006965.1	Sinorhizobium meliloti 1021 (a-proteobacteria)	266834	Sinorhizobium meliloti 1021;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Sinorhizobium/Ensifer group;Sinorhizobium;Sinorhizobium meliloti;
GCF_000008185.1	Treponema denticola ATCC 35405 (spirochetes)	243275	Treponema denticola ATCC 35405;cellular organisms;Bacteria;Pseudomonadati;Spirochaetota;Spirochaetia;Treponematales;Treponemataceae;Treponema;Treponema denticola;
GCF_000008805.1	Neisseria meningitidis MC58 (b-proteobacteria)	122586	Neisseria meningitidis MC58;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;Neisseria meningitidis serogroup B;
GCF_000009625.1	Mesorhizobium japonicum MAFF 303099 (a-proteobacteria)	266835	Mesorhizobium japonicum MAFF 303099;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Mesorhizobium;Mesorhizobium japonicum;
GCF_000012685.1	Myxococcus xanthus DK 1622 (bacteria)	246197	Myxococcus xanthus DK 1622;cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Myxococcia;Myxococcales;Cystobacterineae;Myxococcaceae;Myxococcus;Myxococcus xanthus;
GCF_000013085.1	Rhodospirillum rubrum ATCC 11170 (a-proteobacteria)	269796	Rhodospirillum rubrum ATCC 11170;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;Rhodospirillum rubrum;
GCF_000014565.1	Rhodococcus jostii RHA1 (high G+C Gram-positive bacteria)	101510	Rhodococcus jostii RHA1;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus jostii;
GCF_000014705.1	Shewanella frigidimarina NCIMB 400 (g-proteobacteria)	318167	Shewanella frigidimarina NCIMB 400;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella frigidimarina;
GCF_000016425.1	Salinispora tropica CNB-440 (high G+C Gram-positive bacteria)	369723	Salinispora tropica CNB-440;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora tropica;
GCF_000017425.1	Bacillus cytotoxicus NVH 391-98 (firmicutes)	315749	Bacillus cytotoxicus NVH 391-98;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus;Bacillus cereus group;Bacillus cytotoxicus;
GCF_000018345.1	Mycobacterium marinum M (high G+C Gram-positive bacteria)	216594	Mycobacterium marinum M;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium ulcerans group;Mycobacterium marinum;
GCF_000018605.1	Petrotoga mobilis SJ95 (bacteria)	403833	Petrotoga mobilis SJ95;cellular organisms;Bacteria;Thermotogati;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;Petrotoga;Petrotoga mobilis;
GCF_000021425.1	Bifidobacterium animalis subsp. lactis AD011 (high G+C Gram-positive bacteria)	442563	Bifidobacterium animalis subsp. lactis AD011;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;Bifidobacterium animalis;Bifidobacterium animalis subsp. lactis;
GCF_000021865.1	Rhodobacter capsulatus SB 1003 (a-proteobacteria)	272942	Rhodobacter capsulatus SB 1003;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Rhodobacter group;Rhodobacter;Rhodobacter capsulatus;
GCF_000023285.1	Capnocytophaga ochracea DSM 7271 (CFB group bacteria)	521097	Capnocytophaga ochracea DSM 7271;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga ochracea;
GCF_000024385.1	Thermomonospora curvata DSM 43183 (high G+C Gram-positive bacteria)	471852	Thermomonospora curvata DSM 43183;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Thermomonospora;Thermomonospora curvata;
GCF_000026645.1	Pseudomonas aeruginosa LESB58 (g-proteobacteria)	557722	Pseudomonas aeruginosa LESB58;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;Pseudomonas aeruginosa;
GCF_000069185.1	Mycobacteroides abscessus ATCC 19977 (high G+C Gram-positive bacteria)	561007	Mycobacteroides abscessus ATCC 19977;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacteroides;Mycobacteroides abscessus;
GCF_000091305.1	Streptomyces scabiei 87.22 (high G+C Gram-positive bacteria)	680198	Streptomyces scabiei 87.22;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces scabiei;
GCF_000092025.1	Agrobacterium fabrum str. C58 (a-proteobacteria)	176299	Agrobacterium fabrum str. C58;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Agrobacterium;Agrobacterium tumefaciens complex;Agrobacterium fabrum;
GCF_000146655.1	Neisseria meningitidis ATCC 13091 (b-proteobacteria)	862513	Neisseria meningitidis ATCC 13091;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria meningitidis;
GCF_000147055.1	Dickeya dadantii 3937 (enterobacteria)	198628	Dickeya dadantii 3937;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Dickeya;Dickeya dadantii;
GCF_000158815.1	Micromonospora sp. ATCC 39149 (high G+C Gram-positive bacteria)	219305	Micromonospora sp. ATCC 39149;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora;unclassified Micromonospora;
GCF_000174395.2	Enterococcus faecium DO (firmicutes)	333849	Enterococcus faecium DO;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium;
GCF_000195675.1	Bordetella bronchiseptica RB50 (b-proteobacteria)	257310	Bordetella bronchiseptica RB50;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;Bordetella bronchiseptica;
GCF_000195955.2	Mycobacterium tuberculosis H37Rv (high G+C Gram-positive bacteria)	83332	Mycobacterium tuberculosis H37Rv;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium tuberculosis complex;Mycobacterium tuberculosis;
GCF_000237205.1	Simkania negevensis Z (bacteria)	331113	Simkania negevensis Z;cellular organisms;Bacteria;Pseudomonadati;PVC group;Chlamydiota;Chlamydiia;Parachlamydiales;Simkaniaceae;Simkania;Simkania negevensis;
GCF_000237305.1	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488 (high G+C Gram-positive bacteria)	1003195	Streptantibioticus cattleyicolor NRRL 8057 = DSM 46488;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptantibioticus;Streptantibioticus cattleyicolor;
GCF_000258405.1	Ignavibacterium album JCM 16511 (bacteria)	945713	Ignavibacterium album JCM 16511;cellular organisms;Bacteria;Pseudomonadati;FCB group;Bacteroidota/Chlorobiota group;Ignavibacteriota;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;Ignavibacterium album;
GCF_000331005.1	Streptomyces turgidiscabies Car8 (high G+C Gram-positive bacteria)	698760	Streptomyces turgidiscabies Car8;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces turgidiscabies;
GCF_000758665.1	Paenibacillus borealis (firmicutes)	160799	Paenibacillus borealis;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Paenibacillaceae;Paenibacillus;
GCF_000813125.1	Mesobacillus selenatarsenatis SF-1 (firmicutes)	1321606	Mesobacillus selenatarsenatis SF-1;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Mesobacillus;Mesobacillus selenatarsenatis;
GCF_000816885.1	Xanthomonas citri subsp. citri 306 (g-proteobacteria)	1203463	Xanthomonas citri subsp. citri 306;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas;Xanthomonas citri group;Xanthomonas citri;Xanthomonas citri pv. citri;
GCF_000833375.1	Francisella tularensis subsp. novicida U112 (g-proteobacteria)	401614	Francisella tularensis subsp. novicida U112;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Thiotrichales;Francisellaceae;Francisella;Francisella tularensis;Francisella tularensis subsp. novicida;
GCF_001189295.1	Chondromyces crocatus (bacteria)	52	Chondromyces crocatus;cellular organisms;Bacteria;Pseudomonadati;Myxococcota;Polyangia;Polyangiales;Polyangiaceae;Chondromyces;
GCF_001272835.1	Mycoplasmoides pneumoniae FH (Filterable agent of primary atypical pneumonia)	722438	Mycoplasmoides pneumoniae FH;cellular organisms;Bacteria;Bacillati;Mycoplasmatota;Mycoplasmoidales;Mycoplasmoidaceae;Mycoplasmoides;Mycoplasmoides pneumoniae;
GCF_001427935.1	Paenibacillus sp. Soil724D2 (firmicutes)	1736392	Paenibacillus sp. Soil724D2;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Paenibacillaceae;Paenibacillus;unclassified Paenibacillus;
GCF_001544575.2	Caballeronia cordobensis (b-proteobacteria)	1353886	Caballeronia cordobensis;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Caballeronia;
GCF_001682855.1	Bacillus sp. FJAT-27264 (firmicutes)	1850362	Bacillus sp. FJAT-27264;cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Caryophanales;Bacillaceae;Bacillus;unclassified Bacillus (in: firmicutes);
GCF_001721185.1	Xenorhabdus hominickii (enterobacteria)	351679	Xenorhabdus hominickii;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Xenorhabdus;
GCF_002257695.2	Sporomusa acidovorans DSM 3132 (firmicutes)	1123286	Sporomusa acidovorans DSM 3132;cellular organisms;Bacteria;Bacillati;Bacillota;Negativicutes;Selenomonadales;Sporomusaceae;Sporomusa;Sporomusa acidovorans;
GCF_002260525.1	Hahella sp. CCB-MM4 (g-proteobacteria)	1926491	Hahella sp. CCB-MM4;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Hahellaceae;Hahella;unclassified Hahella;
GCF_003019295.1	Fusobacterium nucleatum subsp. nucleatum ATCC 25586 (fusobacteria)	190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586;cellular organisms;Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum;Fusobacterium nucleatum subsp. nucleatum;
GCF_003121295.1	Streptomyces orinoci (high G+C Gram-positive bacteria)	67339	Streptomyces orinoci;cellular organisms;Bacteria;Bacillati;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;
GCF_003324715.1	Cereibacter sphaeroides 2.4.1 (a-proteobacteria)	272943	Cereibacter sphaeroides 2.4.1;cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Cereibacter;Cereibacter sphaeroides;
