cohort	role	n	genomes	source
panel108	network-level analyses (MEMOTE, KEGG pathway, decoy, structural)	108	108	meteor_v7_run/downstream_results/panel108_gram.tsv
decoy	cost-selection deletion-recovery (exp_decoy)	108	108	
curated_gem6	reaction/EC-level validation vs published curated GEMs (EC-level, namespace-neutral)	6	6	
holdout66	PRIMARY protein-level eval	53	53	meteor_diag/holdout_clean.json
full_proteome	large-scale fidelity	95	95	paperA_2026/baseline_preds + genome_collection
price149	extra-baseline protein set (GraphEC/MAPred/TopEC)	149	22	baseline_preds/price22_*
